Timestamp,age_group,background,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23
11/29/2024 17:25:59,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:27:26,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Normal,Unusual
11/29/2024 17:27:45,18 - 34,Little to no background,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:29:46,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal
11/29/2024 17:32:52,18 - 34,General interest or basic knowledge of concepts,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 17:33:52,18 - 34,General interest or basic knowledge of concepts,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal
11/29/2024 17:36:44,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 17:37:50,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:39:21,35 - 54,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:39:43,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Unusual,Unusual,Normal,Normal,Unusual
11/29/2024 17:42:06,18 - 34,Little to no background,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Unusual,Normal,Normal
11/29/2024 17:46:17,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal
11/29/2024 17:59:28,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 18:18:50,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 18:22:17,Under 18,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Unusual,Unusual,Unusual,Unusual,Normal,Normal
11/29/2024 18:28:23,Under 18,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 18:30:51,18 - 34,Little to no background,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 18:31:07,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Unusual,Unusual
11/29/2024 18:32:38,Under 18,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 18:35:59,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 18:40:24,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 19:08:31,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Unusual
11/29/2024 19:10:32,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual
11/29/2024 19:12:18,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Normal,Normal,Normal,Normal,Unusual,Unusual,Unusual,Unusual,Unusual,Unusual,Normal
11/29/2024 19:14:01,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Normal,Unusual,Normal
11/29/2024 19:47:16,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 19:53:13,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Unusual
11/29/2024 20:07:05,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal
11/29/2024 20:16:20,35 - 54,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal
11/29/2024 20:33:41,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 20:36:14,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 20:43:53,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 21:47:16,18 - 34,"Completed coursework, training, or certification",Unusual,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Unusual
11/29/2024 22:51:20,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 23:56:53,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/30/2024 1:12:50,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual
11/30/2024 1:24:41,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual
11/30/2024 14:48:49,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/30/2024 17:36:05,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Unusual
12/1/2024 20:52:14,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
12/1/2024 21:38:11,18 - 34,Little to no background,Normal,Unusual,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal
12/2/2024 1:23:29,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal
12/2/2024 8:48:41,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Unusual
12/2/2024 9:16:28,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Unusual
12/2/2024 9:30:03,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
12/2/2024 9:30:41,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Unusual
12/2/2024 9:31:45,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal
12/2/2024 9:37:10,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal
12/2/2024 10:02:43,18 - 34,Little to no background,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Unusual,Normal,Unusual,Normal
12/2/2024 10:15:14,18 - 34,Little to no background,Normal,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Normal,Normal
12/2/2024 11:19:32,18 - 34,Little to no background,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual
12/2/2024 12:17:55,Under 18,General interest or basic knowledge of concepts,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Unusual,Unusual,Unusual,Normal
12/2/2024 14:40:49,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
12/2/2024 15:04:01,Under 18,Academic researcher or student specializing in a cybersecurity-related field,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
12/4/2024 21:35:48,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal